text,label
Iniciaste un proceso bioquímico en mi Hipotálamo causando segregación de Dopamina. – ¿Qué? – ¡Estoy enamorado de ti! – ¿Hipo qué?,1
¡Te he dicho 16 mil quinientos 53 millones setecientas 54 y ocho mil docientas cincuenta y dos veces que no seas tan exagerado! #fb,1
ME ENOJO CUANDO te sacan a bailar :(,0
"Wake me up
Before you Cougo",0
"—Amor, estoy embarazada, ¿qué quieres que sea?
—Una broma.",1
"Una vez marqué al 911 por error y me dio pena admitirlo, así que incendié la casa.
:(",1
"¿Te cae mal, mi amor? Ten, bórrala.

—TODOS LOS HOMBRES SIEMPRE.",1
"“No soy priísta”.

-Un priísta que va para presidente.",0
"Ya llevo la prueba hecha,no me llega a salir y me pego un tirooo",0
"Según la química, EL ALCOHOL ES UNA SOLUCIÓN.",1
Olvidalo,0
" soñé contigo.  ¡Wow! ¿En serio? cómo fue.  No recuerdo.  Entonces, ¿cómo sabes que soñabas conmigo?  Me desperté feliz.",0
Deci que no salio él Gil este pq sino se comía él cabezazo que le pegue al otro 👊👊,0
Solo me da hambre a estas horas mientras en el día ni como 😩,0
Contesta tus D'm @bigtimemiguel,0
"No puede ser que tenga la casa de mis abuelos para mi sola, y este enferma para por lo menos una juntada😢",0
CHICOS PEDÍ 3 ENTRADAS PARA EL LOLLA Y ME VINIERON 4 JAAAAAAA,0
#Ayuda Cual cámara NIKON es mejor: ¿D3200 o D5100 y por que?.. Gracias.,0
Muy dificil que me enganche con un pibe que no conozco en persona... El vecino fue excepción. Osea no tenes chance amigo,0
"Ahora más lacra y menos hippie, porque entendí que el billete mata el hambre y paga el creepy.",0
"""Te dejo en «visto» porque ya te puse caliente""

— Mujeres.",1
"Lanzándole piedras a un perro callejero, porque nadie me va a quitar la experiencia de jugar Pokémon Go a pesar de tener iOS. NADIE.",1
"Acá en Mi pais los 3 Reyes magos son Malechor, Gaspar y Vaasaltar #xD #JAJAJA #RT",1
"—¿Tan linda y sin novio?
—Zii lo ke paza ez ke..
—Déjalo, ya sé por que.",1
"Según mi mamá:
-¿Dolor de cabeza? El computador.
-¿Dolor de espalda? El computador.
-¿Me atropellan? El computador",1
Por la sangre que derramaron de miles de Venezolanos tendrán que rendir cuentas aquí y ante el creador,0
"Buen día a todos los que estén vivos, porque los que están muertos ya están teniendo un buen día.",0
"Había un tipo tan tacaño... que escuchaba misa por radio, y cuando pasaba la limosna apagaba el radio.",1
"—Abuelo ¿qué te pasó? 
—Me mordió una serpiente bebé. 
—¿Como sabes eso? 
—Es que traía una sonaja en la cola.
—¡Era una cascabel, pendejo!",1
"Todo lo culero pasa en Septiembre, terremotos, inundaciones, el 9/11, lo único vergas fue que le rompimos su madre a la corona en 1810.",0
"Valla 🚧

Vaya 🚶🏾

Baya 🍇

BAIA BAIA",1
"La caja de la pizza es cuadrada, la pizza es redonda y el trozo de pizza es triangular. Nada tiene sentido en esta vida.",1
¿Qué título le queda mejor a Bob Marley?,0
"- Te quiero - Yo también - ¿Enserio? - Sí, yo también me quiero :)",1
"-¿Cariño, crees que voy muy escotada? -¿Tu tienes pelo en el pecho, amor mío? -¡Nooo! -¡Pues entonces, sí!",1
Viendo el concepto que tenéis algunas personas de amistad prefiero caeros mal muack,0
No existe película de terror que supere aquella sensación de tocarse el bolsillo y no sentir el celular.,1
Profesores que se creen estrategas militares reubicando alumnos en exámenes.,1
"Mentira, iré a mirar wgm.",0
"Ma, pQ mis primas se llaman Rosa y Jazmin
-Pq tu tia le gustan las flores.
Y a ti q te gusta?
-Vergonia deja ya y ve por tu hermana penelope",1
"#MalasIdeas decirle ""Cálmate"" a una mujer enojada.",0
Cada vez te alejas más y te conozco menos.,0
"No se si estoy cruda, peda, viva, arriba, abajo, cintura sola, la media vuelta, despacito, quiero respirar tu cuello deeeees pa ci to.",0
Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,1
"—¿Eres conocedor de la NFL?

—Sí, mucho.

—¿Y qué opinas de San Diego?

—Pues yo le tengo mas fe a San Juditas.",1
"Tu novia, la que le dicen la ""Juan Escutia"", porque se avienta a lo pendejo y se revuelca con toda la bandera.",1
Que enfermante sensación,0
ya no quiero que mas nadie mas me hable de amorr,0
Ohh! Que bonito tiene el pelo tu novia... debe ser por Dog Chow™,1
"Si me gusta jugar a las cartas?
- Maso",1
Melón y Melames fueron a la feria y jugaron al tiro al blanco. Melón gano un Silvestre y Melames el Piolín,1
Te compro el corazón y te compro tu amor 🎶,0
Buenos días por si no se los dan.😗,0
"—¡JAJAJAJAJAJAJAJAJ! ¿Te caíste de la bici?
—No, yo me bajo así",1
"¿Quien es el papá del Príncipe Azul? ¡Pues el Blue Ray! jajajá!!... ¿Entendieron? ""Rey Azul"" = ""Blue Ray""  Jajajá! Suéltenme, No estoy loco!",1
"Los romanos creían que la crucifixión era la peor tortura, no sabían que años más tarde iba a existir el “te quiero como amigo”.",0
Todavía no hago mi autobiografía porque no sé desde dónde empezar(:,0
"Yo solía ser normal, pero luego me encontré con esos idiotas que yo llamo mis ""mejores amigos"".",0
"-Amor...cuáles son los planes para Semana Santa?  

-Los mismos de Jesus; desparecer el viernes reaparecer el domingo..",1
No puedo estudiar si no tengo musica,0
"El mantra de Cyntia es ""La que no es puta, no disfruta"". #MasterChefMx",0
"¿Agresiv@ yo? 
Agresiv@ tu puta madre pendejo, 
yo soy un amor. ♥",1
SEND NUD....DIGO HOLA,1
se puso criminal nanan,0
El diligente hombre garza y la mujer coatimundi,0
"Niño entra a ducha y papá está con los ojos blancos: -Papito, que tienes en tu mano? -Un ratoncito -Y pq te lo estás tirando? #fb",1
"-Disculpe , ¿me podría decir la contraseña del WiFi?
-Oiga, esto es un funeral.
-¿Todo en minúscula sin espacios?",1
"Viendo pal techo como cada noche, considerando seriamente el suicidio.

[二二二二二]
|　∧＿∧    |
| ( ・ω・`)　|
|ノ￣￣￣ヽ |
|　　　ミ　.|
| 　　　　    |
ヽ＿＿＿＿ソ",0
"Si el tiempo pone las cosas en su lugar, espero que te ponga encima de mí o abajo, no importa. 😏",1
"Me enamoré hasta de sus defectos, y qué bonito.",0
Y el limite #SalsaVictoria,0
Mi vieja se chingó un litro de helado de chocochips sola. No sé si está deprimida o nomas es una marrana egoísta. Pero MÍ MARRANA EGOÍSTA. ?,0
Qué pedo con la gente por qué les gusta casarse a los veinticachos?,0
"Un borracho llega a una venta de licores
Por favor, una bebida de Shakira.
De Shakira?
Sí, de esas que dejan bruto, ciego, sordo, mudo  #RT",1
Amistad es cuando maldices a tu amigo y el todavía se ríe.,0
"En clase: 1+1=2. Ejercicios: 2+2=4. Examen: María compró 4 peras, 2 se las dio a Juan. Calcula la distancia de la tierra al sol.",1
Reunión con docentes: “desde Amet vamos a escuchar la propuesta del Gobierno” Rufino Fernandez en #LaDos,0
👸🏼 la duraa,0
"Y Jesús tomó el pan y el vino , y al ver que la copa estaba vacía le dijo a sus discípulos:
-Mi plata no valee ??",1
"Creo que pato se va a morir de tristeza, le di pan y no se lo comió",0
Lo mío es: Cantar mal... pero con sentimiento.,0
"Me da risa la gente competitiva.  Sí, a mi también.  Jaja  Jajaja  Jajajaja  Jajajajaja  Jajajajajaja  Jajajajajajaja",1
Necesito nuevas series o películas en Netflix ☹️,0
"Fui a McDonalds y el cajero me preguntó ""¿Le pongo salsa?"", dije que sí y nos pusimos a bailar mientras la gente aplaudía. Fue precioso.",1
"Le preguntan al marinero : -¿Dónde está el capitán? -¡Por babor! -Por babor, ¿dónde está el capitán? #fb",1
Un dia estaba en mi cuarto viendo las estrellas....y luego me pregunte -DONDE PUTASS ESTA MI TECHO- Jaja,1
"—¿Te caíste de la bici? —No, yo me bajo así",1
En cuatro meses se termina el año y de los 5 kilos que quería adelgazar ya nada más me faltan ocho.,1
Las Converse en invierno congelan los pies. Sinceremonos,0
¿Por qué las prostitutas se parecen a las autopistas? Porque o pagas o te vas por la vieja... #fb,1
"Tú estás en tu cama sufriendo por la cruda, mientras yo estoy viendo caricaturas y comiendo Zucaritas. Claramente no eres para mí. 😌",0
"—¡¡MAMÁ!! me mordio una Araña.
—¿Puedes escalar paredes?
—No.
—Entonces deja de estar chingando y ponte pomada.",1
Donde hay un mal marido siempre hay un buen amante y te perdió,0
Si me pones un poquito de Kpop soy feliz. Primer aviso Mabeeel #ATRenMTVHits,0
"Capas soy yo...
Ahi veces que es mejor dar un paso al costado desaparecer de todo... 
Y dejar que las personas sean felices con o sin vos",0
"-¿Mamá puedo salir?  
–NO.
–¿Cómo se llama lo que le echas a la comida para darle más sabor?  
–Sal. 
–Ok, adiós.",1
para @brutaliaparis ATENCIÓN! Fui al concierto de la tal Camila esa y en vez de salir la mujer salieron 3 hombres ¡NO SE DEJEN ENGAÑAR #RT,0
"“Ya no voy a tomar tanto, voy a dejar el desmadre y me voy a poner las pilas” 

—Yo todo pendejo reflexionando con un chingo de cruda.",0
caracaaaaaaaaaaa,0
#fiebredevina Pablo Vargas tipo de mal genio se acuerdan del problema del motel y se fue preso y la Betzy es una aparecida que se cree diva,0
Estoy esperando a que le de por aparecer a la niña.,0
Te gustan las estadisticas? -Probablemente..,1
"Qué curioso, me acabo de dar cuenta que “Diciembre” al revés es “Erbmeicid”, no significa nada, COMO YO EN TU VIDA",0
"-¡Mamá, mamá, me regalo una computadora Harry Potter! 
-¿Cómo sabes que es Harry Potter?
-Porque en la caja decia HP",1
Materiales para el regreso a clases : 1. Teléfono 2. Cargador?? 3. Auriculares 4. Chicle 5. Dinero,0
Es la primera vez que quiero volver a ver a alguien maldita cosa sin sentimientos,0
Sonríe hoy (: ...mañana podría faltarte un diente #xD,1
"-Just what he want---Como si nada, solo se mueve un poco-.",0
"— ¡Septiembre sorpréndeme!

— Cerrarán Xvideos.

— 😭.",1
Toda la vida pensando que el aire es gratis hasta que te compras una bolsa de Sabritas.,1
¿De qué hablan? No sé qué tuitear.,0
Ando bien enamorada de mi gorditopanzon,0
Que bueno ser feo y no preocuparse por el ángulo de la selfie y esa pendejadas.,1
"Si mañana hay interesados realizare los #JajaChistesGAME!, pendientes.",0
No se termina más la semana.,0
Irónico es hacer la cama si por la noche la tenemos que deshacer otra vez.,0
"La ventaja de andar con una fodonga, es que cuando se arregla parece otra y es como si tuvieras dos novias. 

Punto para las fodongas.",1
"Un puerco espin ciego estaba caminando por el desierto y derrepente choca con un cactus. y grita ""mama!!!!!!  #chistes #humor",1
Si voy al cumple del peco voy a tener que ir con un agua tónica abajo del brazo jajaja ??,0
"Aqui, alternando patearme las ojeras y las pechugas. Pum pum una una",0
"Manden nudes o manden memes, pero manden algo.",0
"Formas de iniciar una pelea con una mujer:

1. Decirle que sí.
2. Decirle que no.
3. Quedarse callado.",1
"Alfred siendo Alfred inventándose la letra:_ 
#AlfredDirecto",0
toma mirame todos los twts  que me encanta?,0
Te crees mi principe azul y no llegas ni a Pitufo!!! #fb,1
"Mi hermana: ""Ya me perdonaste?""
(Ya casi un mes que no le hablo, ósea si le hablo, es mi hermana, pero no como antes)",0
Ya se nos va a dar !!,0
Estar sin #whatsapp  hoy en día es como estar ciego 😅😅,0
Dices voy a estudiar y de repente todo tu alrededor se vuelve mas interesante.,1
"Papá, papá, la profesora hizo una pregunta y yo fui el único que levantó la mano.
¿Y qué preguntó?
¿Quién no hizo la tarea?",1
elle est po cool marjo,0
Toquese que es bueno para la próstata,0
Días tristes y estos,0
8 días pasan volando?,0
Tomar champaña después de lavarse los dientes. Mas rico,0
¿Qué le dijo un transformer a otro transformer...? Nunca cambies... #fb,1
"""Bájate de ahí, que si te caes, aparte del madrazo que te vas a dar, yo te voy a dar otra madriza"".
- Mi mamá, diciéndome que tenga cuidado.",1
Le conté a mi amiga que uno de los chicos del aula me estaba molestando y yo no lo soportaba. Ella me dijo sonriente: «Le gustas» #pulpin,0
Les hago una playlist de:,0
"¿Eso que importa, abuelo? Ellos ya son adultos, tu siempre seras el jefe de la familia, al menos para mi.",0
"Como me cagan esos pendejos que ponen de perfil una foto con algún monumento, torre Eiffel o cualquier cochinada de Europa. Me dan asco.",0
"Soy de los que cuando me envían una captura, miro la hora, la batería, la señal, las notificaciones...",1
"#EnLaRepublicaLibreYSoberanaDeGretchen La comida NO se bota,se busca a quien la necesite y se le regala.",0
"Típico : Guardar archivo: ""ldksjdkjd"". El archivo ""ldksjdkjd"" ya existe.",1
"Subiria fotos pero no tengo casi datos sad 
#ArtistaDelFestivalHaAsh",0
"Quienes son ""las madres"" y quiénes son ""las zorras"", futbolísticamente escribiendo?",0
"Amigos, me acabo de pisar el pene.",1
El drama de Cúcuta nunca cambiará 😂,0
Debemos evitar la producción de tweets a nivel industrial. No sigas a twitteros populares. Apostémosle al pequeño productor de tweets.,0
"No llores mirando hacía atrás, mejor sonríe dando un paso al frente. #Frases #fb",0
—¿De dónde vienes? —Del salón de belleza. —¿Y qué... No había luz?,1
"Bo, esas papas fritas sabor huevo frito están lavando guita, a mí no me joden.",0
El insomnio desaparece cuando estas enfocado y trabajando en tus metas.,0
Nunca creas lo que te digan y cree el 50% de lo que ves.,0
No dejes para mañana lo que puedas comer hoy.,1
"—Eres muy bonita...
—Dime algo que no sepa.
—Espinoza Paz se llama Isidro Chávez.
—¡¿KHE?!",1
KEEEEEE MESSI FALLO UN PENAL ESTE PARTIDO NO LO GANA NADIE,0
"(Eres soltero, lindo y romántico)
¿Podrías presentarme a tu amigo el delincuente borracho y patán? Sí, ese que tiene novia?.

—LAS MUJERES.",1
¿Por qué todos los judíos tendrían que llamarse Isaac?... porque nacen... y zaaak! #ShanaTova  #chistes  #humor,1
Los amigos valen oro... no seas tonto ¡véndelos!,1
Al hombre no se le hace brujería. se le hace el amor rico y punto.,0
"Un infeliz en el amor que aún no te supera, y que ahora camina solo sin nadie por todas las aceras",0
Que manera de haber gente toxica,0
No les pasa que en el espejo se ven hermosos pero pues no?,0
buenas,0
Bueno alguien me piensa hablsr o que mierda la concha de sus madres,0
Lluvia 🌂,0
yo no entiendo porq se alegran que es viernes si ni hay riales guau,0
Que manera de chivar,0
"en mis tardes de oficina, mi jefe es como de: voy a poner a maluma, y yo asi de wtf !!!",0
"Hijo quiero conocer a tu novia! - Yo también
mamá, yo también.  #xD",1
Necesito escuchar su propia musica #discoRaoul,0
"#Chiste Era una mujer tan fea, tan fea que llego virgen a su tercer divorcio #chistes RT.",1
Ojala Mañana Salga Todo Bien 😶,0
Qué sueño que tengo #ArtistaDelFestivalCNCO,0
"""Estoy como el arroz de la paella, negro ya"" 

Acción poética de Renfe

Representando",0
Que feo tener celos sin ser nada jajajaa,0
Se me fue el miedo,0
Yo puedo ser lo que sea pero nunca seré de esas personas que cambian de personalidad cuando están con otras.,0
"#D18A21 @edufeiok
 #Pañuelazo 
PARA 1 SEXUALIDAD CONSCIENTE MARCHAN X EL ABORTO ⁉
CERRA LAS PIERNAS
TOMA LA PASTILLA
FORRO
💊 DEL DÍA DESPUÉS",0
"Hay 3 cosas que transforman a las mujeres:

1.- El dinero.
2.- Los celos.
3.- Los filtros.",1
"-Mi amor, estoy embarazada. ¿Qué te gustaría que fuera?
-Una broma....",1
Hablar horas con una persona y no aburrirse.,0
Típico : Utilizar vocabulario de difícil comprensión y alta complejidad en los exámenes para neutralizar la falta de conocimiento.,1
"¿En que se parecen un perro y un ginecólogo miope?
 En que los dos tienen la nariz húmeda.",1
Quiero viajar y conocer muchos lugares.,0
Los audios de insultos de Matii jajajaja,0
"cuando hacemos el amor lo haces por amor o por interés?
la mujer: por amor por amor.
pues a ver si pones un poquito más de interés..#CHISTES",1
"Traté de matar una araña con spray para cabello. La araña sigue viva, pero tiene un peinado DI-VI-NO. #XD",1
¿Pendejos? Pendejos esos que cambian a sus verdaderos amigos por una relación solo de meses.,0
"-hola, éste es el centro de alta tecnología?
- Si. Póngase  abajo del balcón que le tiro la llave",1
"-Hija Tu marido llego anoche borracho y me hizo el amor 3 veces 
Y tu que le dijiste? 
-Nada, tu sabes que yo a ese tarado no le hablo #XD",1
"#NoConfíoEn esas personas que tratan de ""amor"", ""bebé, ""Mi vida"", etc, a todo el mundo.",0
Cada vez menos para el debut de Boca en la Libertadores 🙋,0
Tengo que dormir pero amo tanto escuchar la llovía fumandome un pucho en el balcón. Me faltaría el ?,0
"Me viene a buscar para q salgamos a correr ,relations goals? O estamos muy gordos?",1
quiero tener a alguien pa contarle que tengo pena y que me diga que me quiere abrazar me importa un hoyo si está al otro lado del mundo,0
"NovioTacaño pasa con Su novia frente a un restaurante,  y La novia le dice:- Que rico Huele.. y El novio le Dice: Quieres Volver a Pasar?",1
Siete alarmas después aquí estoy.,0
Venenosa,0
"Es ley: No importa si los demás salen feos en la foto. Si sales bien tú, ¡la subes!",1
"Nueve
#SlowHands #Bestlyrics #iHeartAwards",0
Me cago en todo yaa jodeeeeeeerrrrr que en todo el puto dia no han dejado de dolerme los ovarios coñññññño,0
A dormir mañana no la suelto un segundo ???,0
"-Hijo! tienes la bragueta abierta, se te va a escapar el pajarito! -Tranquila, volverá, tiene los huevitos aquí.",1
