tweet,label_original,pred_v2,score_humor,error,tipo_error,label_correcto
"—Óyeme cabrón y ¿Quien te crees tú para quitarme mi tiempo? -Twitter. —Ah ok, entonces SI.",0,1,0.6796875,True,FP,1
"Penetrar una panocha es haberla mamado, no es amor.",0,1,0.6796875,True,FP,0
"Iba a decir que el clima está como para estar contigo, pero para estar contigo, está chingón cualquier clima.",0,1,0.6796875,True,FP,0
"—Si abres Google.
—Le das clic en imágenes.
—Pones la palabra: ""Wankaego"".
—Ves las imágenes y no se te para el Pito.
—Eres una amiga más.",0,1,0.6796875,True,FP,0
mano QUE,0,1,0.65234375,True,FP,0
"“No importa con cuántos haya cogido, contigo hago el amor”

—La abeja reina de la putería.",0,1,0.65234375,True,FP,1
No puedo creer que mi perra no me deje ni ir al baño ajajajaj,0,1,0.65234375,True,FP,0
"Qué cáncer esos que tuitéan todo lo que les pasa. Ni que me vuelva a hablar Norma lo hago, aunque ayer me saludó. Creo que quiere hablarme.",0,1,0.62109375,True,FP,0
"// Gracioso es que tengo contextura delgada, más de la que debería, y aún así no poseo cintura.",0,1,0.62109375,True,FP,0
Escuchar conversaciones de otras personas en el metro y dar tu opinión mentalmente.,0,1,0.62109375,True,FP,1
Eso de q le digan a tu viejo compras un iphone y el otro se lo regalo a tu hija y q el diga q no... no me gusta,0,1,0.62109375,True,FP,0
"Tu secreto está a salvo conmigo, no te estoy ni escuchando.",0,1,0.62109375,True,FP,1
Mi defensa personal es hacer como que me vale verga.,0,1,0.62109375,True,FP,1
11:11 Que nunca se acabe el recalentado,0,1,0.62109375,True,FP,1
"Sé que me extranãs, y yo también pero Shhhh... sigamos fingiendo que somos fuertes.",0,1,0.59375,True,FP,1
#TraumasDeLaInfancia Tragarte un chicle y pensar que te podías morir.,0,1,0.59375,True,FP,0
Siento que nos gobierna una pija gigante y todos los días nos pinceléa un par de veces.,0,1,0.59375,True,FP,0
Ahorita por ejemplo estaría súper chido cruzar la calle justo cuando esté pasando un trailer de la coca cola,0,1,0.59375,True,FP,0
#MaestroMemorable El maestro Yoda y El maestro Roshi,0,1,0.59375,True,FP,0
"Me pilla por sorpresa la noticia de ""Arbeloa 2 meses lesionado"", yo pensaba que ya lo estaba desde que empecé a entrenar al Real Madrid.",0,1,0.59375,True,FP,1
"Debí de haber escogido una carrera más bara, cawn",0,1,0.59375,True,FP,0
Todo está perfect hasta que te metes en cosas de mi hija. Ahí te cagas en tu madre !!!,0,1,0.59375,True,FP,0
Me hicieron la lista del super y ya me deprimí.,0,1,0.5625,True,FP,1
"X somos chavos, XX somos cervezas, XXX somos estrellas porno.",0,1,0.5625,True,FP,1
Deja de ahogarte por personas que ni siquiera entran al agua por ti.,0,1,0.5625,True,FP,0
"Oye no tengo contraseña, por si quieres entrar a mi vida sin pedos.",0,1,0.5625,True,FP,1
Te comiste el verso jajajja,0,1,0.5625,True,FP,0
Cocaína cocainaaa🎶,0,1,0.5625,True,FP,0
Me siento en una montaña rusa...,0,1,0.53125,True,FP,0
"Típico decir ""no me vuelvo a enamorar"", ""no vuelvo a tomar"". Y luego, ahí vas otra vez de PENDEJO.",0,1,0.53125,True,FP,1
"Fingir que no duele, duele el doble.",0,1,0.53125,True,FP,0
"Y si me caigo me levanto, sin perder el encanto.",0,1,0.53125,True,FP,0
"Netflix, helado, nosotros 2... T gustaría?",0,1,0.53125,True,FP,0
Qué culero pelearte con tu novia y no poder irte de su casa quemando llanta porque eres pobre y llegaste en camión.,0,1,0.53125,True,FP,1
"Sin que seas piñata de posada, ya me urge agarrarte a palos y sacarte la fruta.",0,1,0.53125,True,FP,1
Tiburónsin uh ah ah 🦈,0,1,0.5,True,FP,1
Un sillón. Whisky escocés en una mano mientras eyaculo sobre una foto del Porto por llevarse a Casillas del Madrid para darle las gracias.,0,1,0.5,True,FP,0
"#DeboReconocerQue soy de ese 99,999999999999% de la población que después de las vacaciones, no se acuerda ni de como escribir.",0,1,0.5,True,FP,1
"Sales dos días seguidos y para tu mamá ""ya vives en la calle"".",0,1,0.5,True,FP,1
Baja un ratito y abrazamee,0,1,0.5,True,FP,0
por que no me chupan la pija,0,1,0.5,True,FP,0
"Las mujeres son expertas en enfadarse por cualquier pendejada, los hombres son expertos haciendo pendejadas.",0,1,0.5,True,FP,1
"Otro diciembre mas,
Y no sabemos donde estan los juguetes #XD",0,1,0.46875,True,FP,0
"Hamburguesa 
Fajas de carne
Platano maduro
Pollo

Almuerzos vergas",0,1,0.46875,True,FP,0
"13 letras, 3 palabras, 1 sentimiento de tristeza: Mañana es lunes :(",0,1,0.46875,True,FP,1
está comprobado que no sirvo para dar sorpresas 😅,0,1,0.46875,True,FP,0
"Si tu mamá nunca te dijo la frase: ""Y si tus amigos se tiran de un puente, ¿tu también te tiras?"", no es tu mamá.",0,1,0.46875,True,FP,0
#TraumasDeLaInfancia cuando te dejaban arriba en el sube y baja.,0,1,0.46875,True,FP,1
"""Te extraño, pero prefiero no saber nada de ti.""",0,1,0.46875,True,FP,0
"Odio cuando dos personas se conocen gracias a mi y acaban teniendo mas amistad que conmigo, ¿Que les pasa? YO LO CREÉ.",0,1,0.46875,True,FP,1
